Level,Date and Time,Source,Event ID,Task Category
Information,12/4/2019 3:23:00 PM,Service Control Manager,7036,None,The Windows Error Reporting Service service entered the running state.
Information,12/4/2019 3:22:58 PM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the stopped state.
Information,12/4/2019 3:22:58 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information,12/4/2019 3:22:58 PM,Service Control Manager,7036,None,The Group Policy Client service entered the stopped state.
Information,12/4/2019 3:22:58 PM,Service Control Manager,7036,None,The Windows Update service entered the stopped state.
Information,12/4/2019 3:22:58 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,12/4/2019 3:22:57 PM,USER32,1074,None,"The process wlms.exe has initiated the power off of computer VAGRANT-2008R2 on behalf of user NT AUTHORITY\SYSTEM for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information,12/4/2019 3:19:51 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/4/2019 3:14:28 PM,Service Control Manager,7036,None,The Windows Installer service entered the stopped state.
Information,12/4/2019 3:14:14 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/4/2019 3:10:02 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/4/2019 3:08:45 PM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,12/4/2019 3:05:01 PM,Service Control Manager,7036,None,The Diagnostic System Host service entered the stopped state.
Information,12/4/2019 3:04:51 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/4/2019 3:04:49 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/4/2019 3:04:34 PM,Service Control Manager,7036,None,The Windows Installer service entered the running state.
Information,12/4/2019 3:03:16 PM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,12/4/2019 3:02:49 PM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the stopped state.
Information,12/4/2019 2:59:57 PM,Service Control Manager,7036,None,The WMI Performance Adapter service entered the running state.
Information,12/4/2019 2:59:50 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the stopped state.
Information,12/4/2019 2:59:48 PM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Google Chrome Elevation Service
Service File Name:  ""C:\Program Files (x86)\Google\Chrome\Application\78.0.3904.108\elevation_service.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,12/4/2019 2:59:31 PM,Service Control Manager,7036,None,The Google Update Service (gupdate) service entered the running state.
Information,12/4/2019 2:59:31 PM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Google Update Service (gupdatem)
Service File Name:  ""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,12/4/2019 2:59:31 PM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Google Update Service (gupdate)
Service File Name:  ""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,12/4/2019 2:57:36 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/4/2019 2:57:11 PM,Service Control Manager,7036,None,The Application Management service entered the running state.
Information,12/4/2019 2:56:08 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/4/2019 2:53:04 PM,Service Control Manager,7036,None,The SPP Notification Service service entered the running state.
Information,12/4/2019 2:51:07 PM,Service Control Manager,7036,None,The Application Experience service entered the stopped state.
Information,12/4/2019 2:45:20 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information,12/4/2019 2:41:09 PM,Microsoft-Windows-Kernel-General,1,None,The system time has changed to ‎2019‎-‎12‎-‎04T14:41:09.028640700Z from ‎2019‎-‎12‎-‎04T14:41:09.028640700Z.
Information,12/4/2019 2:29:57 PM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:172.24.0.109 has been brought up.
Information,12/4/2019 2:29:54 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/4/2019 2:29:50 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the stopped state.
Information,12/4/2019 2:29:50 PM,Service Control Manager,7042,None,"The TCP/IP NetBIOS Helper service was successfully sent a stop control.

 The reason specified was: 0x40030011 [Operating System: Network Connectivity (Planned)]

 Comment: None"
Information,12/4/2019 2:29:49 PM,Microsoft-Windows-Iphlpsvc,4201,None,Isatap interface isatap.zion.js is no longer active.
Information,12/4/2019 2:25:43 PM,Service Control Manager,7036,None,The Windows Time service entered the stopped state.
Information,12/4/2019 2:25:43 PM,Microsoft-Windows-Kernel-General,1,None,The system time has changed to ‎2019‎-‎12‎-‎04T14:25:43.472000000Z from ‎2019‎-‎12‎-‎04T14:25:43.472554600Z.
Information,12/4/2019 2:25:43 PM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123)."
Information,12/4/2019 2:25:28 PM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123)."
Information,12/4/2019 2:25:27 PM,Service Control Manager,7036,None,The Windows Time service entered the running state.
Information,12/4/2019 2:24:47 PM,Service Control Manager,7036,None,The Windows Update service entered the running state.
Information,12/4/2019 2:24:46 PM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the running state.
Information,12/4/2019 2:24:46 PM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the running state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Diagnostic System Host service entered the running state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the running state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the running state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the stopped state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the running state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the stopped state.
Information,12/4/2019 2:24:45 PM,Service Control Manager,7036,None,The Background Intelligent Transfer Service service entered the running state.
Information,12/4/2019 2:24:28 PM,Service Control Manager,7036,None,The Network Connections service entered the running state.
Information,12/4/2019 2:24:13 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,12/4/2019 2:23:00 PM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver FileRepository\cpu.inf_amd64_neutral_ae5de2e1bf2793c3\cpu.inf for Device Instance ID ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_94_-_INTEL(R)_CORE(TM)_I7-6700HQ_CPU_@_2.60GHZ\_0 with the following status: 0x0.
Information,12/4/2019 2:22:58 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service intelppm for Device Instance ID ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_94_-_INTEL(R)_CORE(TM)_I7-6700HQ_CPU_@_2.60GHZ\_0 with the following status: 0.
Information,12/4/2019 2:22:57 PM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver FileRepository\cpu.inf_amd64_neutral_ae5de2e1bf2793c3\cpu.inf for Device Instance ID ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_94_-_INTEL(R)_CORE(TM)_I7-6700HQ_CPU_@_2.60GHZ\_1 with the following status: 0x0.
Information,12/4/2019 2:22:57 PM,Microsoft-Windows-Iphlpsvc,4200,None,Isatap interface isatap.zion.js with address fe80::5efe:10.0.2.15 has been brought up.
Information,12/4/2019 2:22:56 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service intelppm for Device Instance ID ACPI\GENUINEINTEL_-_INTEL64_FAMILY_6_MODEL_94_-_INTEL(R)_CORE(TM)_I7-6700HQ_CPU_@_2.60GHZ\_1 with the following status: 0.
Information,12/4/2019 2:22:56 PM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver FileRepository\battery.inf_amd64_neutral_cb8fa151a7b7cb80\battery.inf for Device Instance ID ACPI\PNP0C0A\0 with the following status: 0x0.
Information,12/4/2019 2:22:56 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service CmBatt for Device Instance ID ACPI\PNP0C0A\0 with the following status: 0.
Information,12/4/2019 2:22:55 PM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver FileRepository\monitor.inf_amd64_neutral_ab477c4d805d044f\monitor.inf for Device Instance ID DISPLAY\DEFAULT_MONITOR\4&2ABFAA30&0&00000001&00&02 with the following status: 0x0.
Information,12/4/2019 2:22:55 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service monitor for Device Instance ID DISPLAY\DEFAULT_MONITOR\4&2ABFAA30&0&00000001&00&02 with the following status: 0.
Information,12/4/2019 2:22:54 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service tunnel for Device Instance ID ROOT\*ISATAP\0001 with the following status: 0.
Information,12/4/2019 2:22:54 PM,Service Control Manager,7036,None,The Remote Desktop Configuration service entered the running state.
Information,12/4/2019 2:22:53 PM,Service Control Manager,7036,None,The Certificate Propagation service entered the running state.
Information,12/4/2019 2:22:53 PM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the running state.
Information,12/4/2019 2:22:53 PM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the running state.
Information,12/4/2019 2:22:48 PM,Service Control Manager,7036,None,The Remote Desktop Services service entered the running state.
Information,12/4/2019 2:22:45 PM,Service Control Manager,7036,None,The Application Experience service entered the running state.
Information,12/4/2019 2:22:45 PM,Service Control Manager,7036,None,The Portable Device Enumerator Service service entered the running state.
Information,12/4/2019 2:22:45 PM,Service Control Manager,7036,None,The Software Protection service entered the running state.
Information,12/4/2019 2:22:45 PM,Service Control Manager,7036,None,The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information,12/4/2019 2:22:44 PM,Service Control Manager,7036,None,The Network List Service service entered the running state.
Error,12/4/2019 2:22:44 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) failed to load: 
cdrom"
Information,12/4/2019 2:22:44 PM,Service Control Manager,7036,None,The wampmysqld service entered the running state.
Information,12/4/2019 2:22:42 PM,Service Control Manager,7036,None,The Server service entered the running state.
Information,12/4/2019 2:22:41 PM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the running state.
Information,12/4/2019 2:22:41 PM,SNMP,1001,None,The SNMP Service has started successfully.
Information,12/4/2019 2:22:41 PM,Service Control Manager,7036,None,The wampapache service entered the running state.
Information,12/4/2019 2:22:40 PM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the running state.
Information,12/4/2019 2:22:40 PM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the running state.
Information,12/4/2019 2:22:40 PM,Service Control Manager,7036,None,The IP Helper service entered the running state.
Information,12/4/2019 2:22:41 PM,Microsoft-Windows-WinRM,10121,None,"The WinRM service has been configured to accept basic authentication for unsecure HTTP connections. 

 This is not a secure configuration. 

 User Action 
 Set AllowUnencrypted to False in WinRM configuration to ensure packets are encrypted on the wire."
Information,12/4/2019 2:22:41 PM,Microsoft-Windows-WinRM,10148,None,"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener"
Information,12/4/2019 2:22:39 PM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the running state.
Information,12/4/2019 2:22:39 PM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the running state.
Information,12/4/2019 2:22:39 PM,Service Control Manager,7036,None,The OpenSSH Server service entered the running state.
Information,12/4/2019 2:22:38 PM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the running state.
Information,12/4/2019 2:22:37 PM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the running state.
Information,12/4/2019 2:22:36 PM,Service Control Manager,7036,None,The SNMP Service service entered the running state.
Information,12/4/2019 2:22:36 PM,Service Control Manager,7036,None,The Remote Registry service entered the running state.
Information,12/4/2019 2:22:36 PM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the running state.
Error,12/4/2019 2:22:36 PM,SNMP,1500,None,The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information,12/4/2019 2:22:35 PM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the running state.
Information,12/4/2019 2:22:34 PM,Service Control Manager,7036,None,The Network Location Awareness service entered the running state.
Information,12/4/2019 2:22:32 PM,Service Control Manager,7036,None,The jmx service entered the running state.
Information,12/4/2019 2:22:31 PM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the running state.
Information,12/4/2019 2:22:31 PM,Service Control Manager,7036,None,The jenkins service entered the running state.
Information,12/4/2019 2:22:31 PM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information,12/4/2019 2:22:29 PM,Service Control Manager,7036,None,The domain1 GlassFish Server service entered the running state.
Information,12/4/2019 2:22:29 PM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the running state.
Information,12/4/2019 2:22:28 PM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Application Host Helper Service service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Cryptographic Services service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Print Spooler service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Security Accounts Manager service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Workstation service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Windows Firewall service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Base Filtering Engine service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Task Scheduler service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Shell Hardware Detection service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The DNS Client service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The DHCP Client service entered the running state.
Information,12/4/2019 2:22:27 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,12/4/2019 2:22:27 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The TCP/IP NetBIOS Helper service entered the running state.
Information,12/4/2019 2:22:27 PM,Service Control Manager,7036,None,The Network Store Interface Service service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The System Event Notification Service service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The COM+ Event System service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The User Profile Service service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The Group Policy Client service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The Windows Event Log service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The Remote Procedure Call (RPC) service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The RPC Endpoint Mapper service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The DCOM Server Process Launcher service entered the running state.
Information,12/4/2019 2:22:26 PM,Service Control Manager,7036,None,The VirtualBox Guest Additions Service service entered the running state.
Information,12/4/2019 2:22:26 PM,Microsoft-Windows-Kernel-General,1,None,The system time has changed to ‎2019‎-‎12‎-‎04T14:22:26.579000000Z from ‎2019‎-‎12‎-‎04T22:22:25.968750000Z.
Information,12/4/2019 10:22:25 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (6.1, ‎2009‎-‎07‎-‎13T15:26:13.000000000Z) has successfully loaded and registered with Filter Manager."
Information,12/4/2019 10:22:25 PM,Service Control Manager,7036,None,The Power service entered the running state.
Information,12/4/2019 10:22:25 PM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'true' 
PlugPlay caching subsystem enabled: 'true' 
"
Information,12/4/2019 10:22:25 PM,Service Control Manager,7036,None,The Plug and Play service entered the running state.
Information,12/4/2019 10:22:24 PM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 1 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/4/2019 10:22:24 PM,Microsoft-Windows-Kernel-Processor-Power,26,(4),"Processor 0 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information,12/4/2019 10:22:20 PM,Microsoft-Windows-Kernel-General,12,None,The operating system started at system time ‎2019‎-‎12‎-‎04T22:22:20.484375000Z.
Information,11/24/2019 10:46:10 AM,Microsoft-Windows-Kernel-General,13,None,The operating system is shutting down at system time ‎2019‎-‎11‎-‎24T10:46:10.077148400Z.
Information,11/24/2019 10:46:04 AM,Microsoft-Windows-Kernel-Power,109,(103),The kernel power manager has initiated a shutdown transition.
Information,12/4/2019 2:22:26 PM,EventLog,6013,None,The system uptime is 5 seconds.
Information,12/4/2019 2:22:26 PM,EventLog,6005,None,The Event log service was started.
Information,12/4/2019 2:22:26 PM,EventLog,6009,None,Microsoft (R) Windows (R) 6.01. 7601 Service Pack 1 Multiprocessor Free.
Information,11/24/2019 10:46:03 AM,Service Control Manager,7036,None,The Microsoft FTP Service service entered the stopped state.
Information,11/24/2019 10:46:03 AM,Service Control Manager,7036,None,The Cryptographic Services service entered the stopped state.
Information,11/24/2019 10:46:03 AM,Service Control Manager,7036,None,The Application Host Helper Service service entered the stopped state.
Information,11/24/2019 10:46:03 AM,Service Control Manager,7036,None,The wampmysqld service entered the stopped state.
Information,11/24/2019 10:46:03 AM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the stopped state.
Information,11/24/2019 10:46:01 AM,Service Control Manager,7036,None,The Windows Process Activation Service service entered the stopped state.
Information,11/24/2019 10:46:01 AM,Service Control Manager,7036,None,The Remote Desktop Services service entered the stopped state.
Information,11/24/2019 10:46:01 AM,Service Control Manager,7036,None,The Windows Remote Management (WS-Management) service entered the stopped state.
Information,11/24/2019 10:46:01 AM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The IKE and AuthIP IPsec Keying Modules service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Windows Licensing Monitoring Service service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Windows Management Instrumentation service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Distributed Link Tracking Client service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Software Protection service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The World Wide Web Publishing Service service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Desktop Window Manager Session Manager service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The User Profile Service service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Remote Desktop Services UserMode Port Redirector service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Windows Event Log service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Distributed Transaction Coordinator service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The IPsec Policy Agent service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Diagnostic Policy Service service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Power service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Plug and Play service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Microsoft-Windows-UserPnp,20010,(7010),"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'false' 
PlugPlay caching subsystem enabled: 'false' 
"
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Diagnostic System Host service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Windows Font Cache Service service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Certificate Propagation service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The DHCP Client service entered the stopped state.
Information,11/24/2019 10:46:00 AM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,11/24/2019 10:46:00 AM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,11/24/2019 10:46:00 AM,Service Control Manager,7036,None,The Windows Installer service entered the stopped state.
Information,11/24/2019 10:46:00 AM,EventLog,6006,None,The Event log service was stopped.
Information,11/24/2019 10:45:58 AM,Service Control Manager,7036,None,The jenkins service entered the stopped state.
Information,11/24/2019 10:45:58 AM,Service Control Manager,7036,None,The Windows Error Reporting Service service entered the running state.
Information,11/24/2019 10:45:57 AM,Service Control Manager,7036,None,The jmx service entered the stopped state.
Information,11/24/2019 10:45:56 AM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the stopped state.
Information,11/24/2019 10:45:56 AM,Service Control Manager,7036,None,The Apache Tomcat 8.0 Tomcat8 service entered the stopped state.
Error,11/24/2019 10:45:55 AM,Service Control Manager,7034,None,The domain1 GlassFish Server service terminated unexpectedly.  It has done this 1 time(s).
Information,11/24/2019 10:45:50 AM,Service Control Manager,7036,None,The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information,11/24/2019 10:45:50 AM,Service Control Manager,7036,None,The Group Policy Client service entered the stopped state.
Information,11/24/2019 10:45:43 AM,Service Control Manager,7036,None,The Windows Update service entered the stopped state.
Information,11/24/2019 10:45:32 AM,USER32,1074,None,"The process C:\Windows\system32\shutdown.exe (VAGRANT-2008R2) has initiated the shutdown of computer VAGRANT-2008R2 on behalf of user VAGRANT-2008R2\vagrant for the following reason: Application: Maintenance (Planned)
 Reason Code: 0x80040001
 Shutdown Type: shutdown
 Comment: Packer Shutdown"
Information,11/24/2019 10:45:20 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  VirtualBox Shared Folders
Service File Name:  \SystemRoot\System32\drivers\VBoxSF.sys
Service Type:  kernel mode driver
Service Start Type:  system start
Service Account:  "
Information,11/24/2019 10:45:20 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  VirtualBox Guest Additions Service
Service File Name:  %SystemRoot%\System32\VBoxService.exe
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,11/24/2019 10:45:19 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  VirtualBox Guest Mouse Service
Service File Name:  system32\DRIVERS\VBoxMouse.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,11/24/2019 10:45:18 AM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver FileRepository\vboxvideo.inf_amd64_neutral_300a871f9c2cf833\vboxvideo.inf for Device Instance ID PCI\VEN_80EE&DEV_BEEF&SUBSYS_00000000&REV_00\3&267A616A&0&10 with the following status: 0x0.
Information,11/24/2019 10:45:18 AM,Service Control Manager,7040,None,The start type of the VBoxVideo service was changed from system start to demand start.
Information,11/24/2019 10:45:18 AM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service VBoxVideo for Device Instance ID PCI\VEN_80EE&DEV_BEEF&SUBSYS_00000000&REV_00\3&267A616A&0&10 with the following status: 0.
Information,11/24/2019 10:45:18 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  VBoxVideo
Service File Name:  system32\DRIVERS\VBoxVideo.sys
Service Type:  kernel mode driver
Service Start Type:  system start
Service Account:  "
Information,11/24/2019 10:45:15 AM,Microsoft-Windows-UserPnp,20001,(7005),Driver Management concluded the process to install driver FileRepository\vboxguest.inf_amd64_neutral_bc46ee4e057f9d8b\vboxguest.inf for Device Instance ID PCI\VEN_80EE&DEV_CAFE&SUBSYS_00000000&REV_00\3&267A616A&0&20 with the following status: 0x0.
Information,11/24/2019 10:45:14 AM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service VBoxGuest for Device Instance ID PCI\VEN_80EE&DEV_CAFE&SUBSYS_00000000&REV_00\3&267A616A&0&20 with the following status: 0.
Information,11/24/2019 10:45:14 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  VirtualBox Guest Driver
Service File Name:  system32\DRIVERS\VBoxGuest.sys
Service Type:  kernel mode driver
Service Start Type:  boot start
Service Account:  "
Information,11/24/2019 10:45:04 AM,Service Control Manager,7036,None,The Windows Installer service entered the running state.
Information,11/24/2019 10:42:55 AM,Service Control Manager,7036,None,The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information,11/24/2019 10:42:50 AM,Service Control Manager,7040,None,The start type of the Elasticsearch 1.1.1 (elasticsearch-service-x64) service was changed from demand start to auto start.
Information,11/24/2019 10:42:46 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Elasticsearch 1.1.1 (elasticsearch-service-x64)
Service File Name:  ""C:\Program Files\elasticsearch-1.1.1\bin\elasticsearch-service-x64.exe"" //RS//elasticsearch-service-x64
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,11/24/2019 10:42:16 AM,Service Control Manager,7036,None,The ManageEngine Desktop Central Server service entered the running state.
Warning,11/24/2019 10:42:13 AM,Tcpip,4227,None,"TCP/IP failed to establish an outgoing connection because the selected local endpoint was recently used to connect to the same remote endpoint. This error typically occurs when outgoing connections are opened and closed at a high rate, causing all available local ports to be used and forcing TCP/IP to reuse a local port for an outgoing connection. To minimize the risk of data corruption, the TCP/IP standard requires a minimum time period to elapse between successive connections from a given local endpoint to a given remote endpoint."
Information,11/24/2019 10:42:09 AM,Service Control Manager,7036,None,The MEDC Server Component - Notification Server service entered the running state.
Information,11/24/2019 10:42:09 AM,Service Control Manager,7036,None,The MEDC Server Component - Apache service entered the running state.
Information,11/24/2019 10:42:07 AM,Service Control Manager,7040,None,The start type of the MEDC Server Component - Apache service was changed from demand start to auto start.
